Local time,open,high,low,close,volume
15.09.2019 00:00:00,1.10732,1.10863,1.10695,1.10831,5486.165001
16.09.2019 00:00:00,1.10831,1.10843,1.09932,1.10031,142926.3299
17.09.2019 00:00:00,1.1003,1.10755,1.09901,1.10736,170443.1452
18.09.2019 00:00:00,1.10737,1.10746,1.10136,1.10291,157398.9351
19.09.2019 00:00:00,1.10291,1.10735,1.10229,1.10446,198730.7502
20.09.2019 00:00:00,1.10444,1.10676,1.09961,1.10169,173532.1202
22.09.2019 00:00:00,1.10136,1.10197,1.10106,1.10185,4660.09999
23.09.2019 00:00:00,1.10185,1.10253,1.09661,1.09939,178417.3591
24.09.2019 00:00:00,1.09938,1.1024,1.09837,1.10135,183286.2702
25.09.2019 00:00:00,1.10134,1.10168,1.09374,1.09511,196617.3804
26.09.2019 00:00:00,1.09511,1.09672,1.09087,1.09222,191177.0282
27.09.2019 00:00:00,1.09223,1.09586,1.09046,1.09367,176770.0604
29.09.2019 00:00:00,1.09419,1.09461,1.09391,1.09422,3943.520001
30.09.2019 00:00:00,1.09421,1.09478,1.08847,1.08993,175540.0303
01.10.2019 00:00:00,1.08992,1.09428,1.0879,1.09339,214512.2702
02.10.2019 00:00:00,1.0934,1.09636,1.0904,1.09605,200581.1202
03.10.2019 00:00:00,1.09604,1.09992,1.09408,1.09744,219926.4075
04.10.2019 00:00:00,1.09745,1.0999,1.0957,1.0976,184196.8603
06.10.2019 00:00:00,1.09803,1.09838,1.09728,1.09832,4584.699994
07.10.2019 00:00:00,1.09832,1.10004,1.09619,1.09715,167536.2102
08.10.2019 00:00:00,1.09716,1.09958,1.09409,1.09597,217155.5305
09.10.2019 00:00:00,1.09597,1.099,1.09548,1.09842,185453.0552
10.10.2019 00:00:00,1.09841,1.10337,1.09797,1.10106,230081.5301
11.10.2019 00:00:00,1.10105,1.10626,1.10007,1.10329,245439.8803
13.10.2019 00:00:00,1.10316,1.10385,1.1025,1.10282,6677.950012
14.10.2019 00:00:00,1.10281,1.10426,1.10128,1.10259,155436.6703
15.10.2019 00:00:00,1.10258,1.10459,1.09912,1.10344,223298.5562
16.10.2019 00:00:00,1.10344,1.10855,1.10223,1.10737,232685.8703
17.10.2019 00:00:00,1.10738,1.11398,1.1065,1.11244,223617.1304
18.10.2019 00:00:00,1.11245,1.11719,1.11145,1.11703,140632.0603
20.10.2019 00:00:00,1.11607,1.11634,1.11494,1.11558,6303.585024
21.10.2019 00:00:00,1.11559,1.11793,1.11386,1.11515,124245.3703
22.10.2019 00:00:00,1.11517,1.11568,1.11176,1.11289,125243.1903
23.10.2019 00:00:00,1.11288,1.11405,1.11061,1.11322,112972.5598
24.10.2019 00:00:00,1.11322,1.11627,1.1093,1.11034,149011.5704
25.10.2019 00:00:00,1.11035,1.11229,1.10729,1.1079,100730.7102
27.10.2019 00:00:00,1.108,1.1084,1.10774,1.10839,3105.340001
28.10.2019 00:00:00,1.10839,1.11065,1.1076,1.10982,106338.3802
29.10.2019 00:00:00,1.10982,1.11183,1.10735,1.1112,122552.6001
30.10.2019 00:00:00,1.11119,1.11554,1.10801,1.11521,137742.2253
31.10.2019 00:00:00,1.11521,1.11755,1.11314,1.11561,149061.7233
01.11.2019 00:00:00,1.11559,1.11718,1.11281,1.11641,126862.1603
03.11.2019 00:00:00,1.11684,1.11696,1.11639,1.11661,1652
04.11.2019 00:00:00,1.1166,1.11753,1.11218,1.11279,109786.4078
05.11.2019 00:00:00,1.11279,1.11401,1.10635,1.10738,152011.2303
06.11.2019 00:00:00,1.10739,1.10928,1.10651,1.107,124123.6203
07.11.2019 00:00:00,1.10699,1.10914,1.1036,1.10523,155079.1405
